,No of Bedrooms,No of Bathrooms,Lot Area (in Sqft),No of Floors,No_of_Times_Visited,Condition_of_the_House,Overall Grade,Area of the House from Basement (in Sqft),Basement Area (in Sqft),Age of House (in Years),Renovated Year,Longitude,Living Area after Renovation (in Sqft),Lot Area after Renovation (in Sqft),no_of_years(house sold),house_is,Zipcode_table_Zipcode_2,Zipcode_table_Zipcode_3,Zipcode_table_Zipcode_4,Zipcode_table_Zipcode_5,Zipcode_table_Zipcode_6,Zipcode_table_Zipcode_7,Zipcode_table_Zipcode_8,Zipcode_table_Zipcode_9,Zipcode_table_Zipcode_10,sale_price
0,3,1.0,5650.0,1.0,0,2,7,1180.0,0,63,0,-122.257,1340.0,5650,5,2,1,0,0,0,0,0,0,0,0,221900.0
1,3,2.25,7242.0,2.0,0,2,7,2170.0,400,67,1991,-122.319,1690.0,7639,5,2,0,0,1,0,0,0,0,0,0,538000.0
2,2,1.0,10000.0,1.0,0,2,6,770.0,0,85,0,-122.233,2720.0,8062,6,2,0,0,1,0,0,0,0,0,0,180000.0
3,4,3.0,5000.0,1.0,0,3,7,1050.0,910,53,0,-122.393,1360.0,5000,5,2,0,0,0,0,1,0,0,0,0,604000.0
4,3,2.0,8080.0,1.0,0,2,8,1680.0,0,31,0,-122.045,1800.0,7503,6,1,0,0,0,0,0,0,1,0,0,510000.0
5,4,4.5,101930.0,1.0,0,2,10,3890.0,1530,17,0,-122.005,4760.0,101930,5,1,0,0,0,0,0,1,0,0,0,806525.0
6,3,2.25,6819.0,2.0,0,2,7,1715.0,0,23,0,-122.327,2238.0,6819,5,1,1,0,0,0,0,0,0,0,0,257500.0
7,3,1.5,9711.0,1.0,0,2,7,1060.0,0,55,0,-122.315,1650.0,9711,6,2,1,0,0,0,0,0,0,0,0,291850.0
8,3,1.0,7470.0,1.0,0,2,7,1050.0,730,58,0,-122.337,1780.0,8113,6,2,1,0,0,0,0,0,0,0,0,229500.0
9,3,2.5,6560.0,2.0,0,2,7,1890.0,0,15,0,-122.031,2390.0,7570,6,1,0,1,0,0,0,0,0,0,0,323000.0
10,3,2.5,9796.0,1.0,0,2,8,1860.0,1700,53,0,-122.145,2210.0,8925,6,2,0,0,0,0,0,1,0,0,0,662500.0
11,2,1.0,6000.0,1.0,0,2,7,860.0,300,76,0,-122.292,1330.0,6000,5,2,0,0,0,0,0,1,0,0,0,468000.0
12,3,1.0,19901.0,1.5,0,2,7,1430.0,0,91,0,-122.229,1780.0,12697,5,2,0,0,1,0,0,0,0,0,0,310000.0
13,3,1.75,9680.0,1.0,0,2,7,1370.0,0,41,0,-122.045,1370.0,10208,5,1,0,0,0,0,0,0,1,0,0,400000.0
14,5,2.0,4850.0,1.5,0,2,7,1810.0,0,118,0,-122.394,1360.0,4850,6,2,0,0,0,0,1,0,0,0,0,530000.0
15,4,3.0,5000.0,2.0,3,2,9,1980.0,970,39,0,-122.375,2140.0,4000,6,1,0,0,1,0,0,0,0,0,0,650000.0
16,3,2.0,14040.0,2.0,0,2,7,1890.0,0,24,0,-121.962,1890.0,14018,5,1,0,0,1,0,0,0,0,0,0,395000.0
17,4,1.0,4300.0,1.5,0,2,7,1600.0,0,102,0,-122.343,1610.0,4300,5,2,0,0,0,0,1,0,0,0,0,485000.0
